ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
日本語,英語,主,副,主,副,体力,気力,呼吸,首,腕,腰,脚,首,腕,腰,脚
1,パンチ,Punch,突き,突き,突き,突き,4,,,,,,,,○,○,,,,,
2,アメリカンジャブ,American Jab,突き,ラフ,突き,ラフ,3,2,,,,,,,○,○,,,,,
3,ジャブ,Jab,突き,突き,突き,突き,4,1,,,,,,,○,○,,,,,
4,ストレート,Straight,突き,突き,突き,突き,8,3,,1,,,,,○,○,,必殺,1%,,
5,顔張り手,Face Slap,突き,ラフ,突き,ラフ,2,3,,,,,,,○,○,,,,,
6,胸張り手,Chest Slap,突き,突き,突き,突き,4,,,,,,,,○,○,,,,,
7,逆水平チョップ,Knife-Edge Chop,突き,突き,突き,突き,5,,,,,,,,○,○,,,,,
8,掌底,Shoutei,突き,突き,突き,突き,4,1,,,,,,,○,○,,,,,
9,ストレート掌底,Straight Shoutei,突き,突き,突き,突き,8,2,,2,,,,,○,○,,必殺,1%,,
10,キック,Kick,ラフ,蹴り,ラフ,蹴り,6,,,,,,,,,○,○,,,,
11,トーキック,Toe Kick,ラフ,蹴り,ラフ,蹴り,5,1,,,,,,,,○,○,,,,
12,サイキック,Thigh Kick,ラフ,蹴り,ラフ,蹴り,5,,,,,,2,,,○,○,,,,
13,前蹴り,Front Low Kick,ラフ,蹴り,ラフ,蹴り,2,2,,,,,2,,,○,○,,,,
14,ローキック,Low Kick,蹴り,蹴り,蹴り,蹴り,2,1,,,,,3,,,○,○,,,,
15,下段蹴り,Rounding Low Kick,蹴り,蹴り,蹴り,蹴り,2,1,,,,,3,,,○,○,,,,
16,ムエタイローキック,Muay Thai Low Kick,蹴り,蹴り,蹴り,蹴り,3,1,,,,,4,,,○,○,,,,
17,ミドルキック,Middle Kick,蹴り,蹴り,蹴り,蹴り,6,,,,,,,,,○,○,,,,
18,中段蹴り,Rounding Middle Kick,蹴り,蹴り,蹴り,蹴り,6,,,,,,,,,○,○,,,,
19,ムエタイミドルキック,Muay Thai Middle Kick,蹴り,蹴り,蹴り,蹴り,7,,,,,,,,,○,○,,,,
