ID,技名,ポスト上
日本語,英語
1366,片手上げ１,Arm Raise 1,○
1367,片手上げ２,Arm Raise 2,○
1368,片手半上げ,Arm Bent and Raise,○
1369,片腕上げ,Arm Raise 3,○
1370,片腕回し,Single Arm Spinning,○
1371,拳突き上げ,Pumping Fist,○
1372,人差し指上げ,One-fingered Salute,○
1373,テキサスロングホーン,Texas Long Horn,○
1374,指回し１,Finger Spinning 1,○
1375,指回し２,Finger Spinning 2,○
1376,指差し眺め,Look Around Crowd,○
1377,手首チェック,Wrist Check,○
1378,手首チェック片腕上げ,Wrist Check Arm Move,○
1379,両腕交差片手上げ,Flex and Arm Raise,○
1380,両手上げ,Hands Raise,○
1381,両手ガッツポーズ,Hands Gut Pose,○
1382,両手突き上げ,Hands High Raise,○
1383,両手招き,Hands Come On,○
1384,両手叩き,Clapping hands,○
1385,両手拡げ挑発,Hands Provocation,○
1386,両手拡げ叫び,Shout with Hands,○
1387,両手振り,Arms Provocation,○
1388,弓引きガッツポーズ,Gut Pose,○
1389,首斬りポーズ,Neck Cutting Pose,○
1390,振り向きポーズ,Over the Shoulder Pose,○
1391,バク転,Backflip,○
1392,筋肉アピール,Muscle Appeal,○
1393,バク転筋肉アピール,Backflip and Muscle,○
1394,上空毒霧吹き,Poison Mist,○
1395,カニ歩き,Crab Walk,○
1396,ＯＨ！,OH!,
1397,ピースサイン,Peace Sign,
1398,サポーター直し,Adjust Guard Pad,
1399,ファイティングガッツポーズ,Fighting Guts Pose,
1400,拳溜め片腕突きあげ,Fist and Arm Raise,
1401,指差し,Finger Pointing,
1402,ファイヤーポーズ,Fire Pause,
1403,ＢＡＮＧ！ＢＡＮＧ！,BANG! BANG!,
1404,両腕クロス,Arms Cross 1,
1405,両腕交差,Arms Cross 2,
1406,開脚ジャンプ,The Astride Vault,
1407,握り拳,Clenched Fist,
1408,両手十字切り,Hands Cross,
1409,指鳴らし,Snapping Fingers,
1410,首振り,Shaking Head,
1411,手の甲指さし,Point to The Back Of The Hand,
1412,ワイルドシャウト,Wild Shout,
1413,原人の雄叫び,Caveman Shout,
1414,ＷＯＷ！ＷＯＷ！,WOW! WOW!,
1415,胸張り,Chest Out,
1416,マッスルポージング１,Muscle Pose 1,
1417,マッスルポージング２,Muscle Pose 2,
1418,雄叫びガッツポーズ,Shout Gut Pose,
1419,腹太鼓,Belly Drum Play,
1420,腰クネ,Hip Dance,
1421,地団駄踏み雄叫び,Stomp and Shout,
1422,気合い入れ押忍,Pumping Gut Pose,
1423,礼,Greeting,
1424,神への祈り,Pray,
1425,ドイツ式敬礼,German Style Salute,
1426,念仏拝み,Prayer for Buddha,
1427,振り向きアピール,Turning Face Appeal,
1428,両膝つき上空指差し,Knee down & Point,
1429,オリエンタルポーズ,Oriental Pose,
1430,忍者ポーズ,Ninja Pose,
1431,ブルドッグポーズ,Bulldog Pose,
1432,ブルドッグ跨ぎポーズ,Bulldog Straddle,
1433,側転,Cartwheel,
1434,降参ポーズ,Surrender Pose,
1435,片膝筋肉ポーズ,Raised Knee Muscle Pose,
1436,トライアングルサイン,Triangle Sign,○
1437,四股踏み,Sumo Pose,
1438,マイクアピール,MC Appeal,○
1439,ストリートギャングダンス,Street Gang Dance,
1440,ボムアピール,Bomb Appeal,
1441,左右指差しパフォーマンス,Pointing Performance,
1442,ジャッカルポーズ,Jackal Pose,○
1443,飛行機ポーズ,Airplane Pose,
1444,アイテムゲットアピール,Got-an-Item Appeal,○
1445,両手中指立て,Double Mid Fingers,○
1446,中指立て,Single Middle Finger,○
1447,クロスポーズ,Cross Pose,○
1448,勝利のダンス,Victory Dance,
1449,ディスコダンス,Disco Dance,
1450,両人差し指挑発,Double Pointer Provocation,
